rock_and_roll_hall_of_fame	db:homepage	www.rockhall.com
rock_and_roll_hall_of_fame	db:rdf-schema#seealso	list_of_rock
rock_and_roll_hall_of_fame	db:rdf-schema#seealso	roll_hall_of_fame_inductees
country_music_hall_of_fame_and_museum	db:bandmember-inv	bill_monroe
smithsonian_institution	db:restingplace-inv	cher_ami
mon_repos,_corfu	db:birthplace-inv	prince_philip,_duke_of_edinburgh
catacombs_of_paris	db:name	catacombes de paris
catacombs_of_paris	db:location	place_denfert-rochereau
catacombs_of_paris	db:homepage	homepage-catacombs-official-website
smithsonian_institution	db:rdf-schema#seealso	enola_gay
whitney_museum_of_american_art	db:viafid	157861829
whitney_museum_of_american_art	db:lccnid	n/79/032811
whitney_museum_of_american_art	db:individualisedgnd	1019165-3
museum_of_modern_art	db:rdf-schema#seealso	list_of_works
museum_of_modern_art	db:rdf-schema#seealso	museum_of_modern_art
museum_of_modern_art	db:rdf-schema#seealso	sculpture
museum_of_modern_art	db:rdf-schema#seealso	design
national_palace_museum	db:owl#differentfrom	forbidden_city
national_palace_museum	db:owl#differentfrom	beijing
computer_history_museum	db:award-inv	john_backus
canada's_sports_hall_of_fame	db:honours-inv	ron_turcotte
jardin_des_plantes	db:training-inv	pierre-joseph_redout\u00e9
national_air_and_space_museum	db:distributor-inv	to_fly!
computer_history_museum	db:award-inv	butler_lampson
computer_history_museum	db:award-inv	ivan_sutherland
metropolitan_museum_of_art	db:museum-inv	september_morn
art_institute_of_chicago	db:training-inv	edward_gorey
guggenheim_museum_bilbao	db:name	guggenheim museum bilbao
guggenheim_museum_bilbao	db:name	museo guggenheim bilbao / guggenheim bilbao museoa
guggenheim_museum_bilbao	db:location	abando
guggenheim_museum_bilbao	db:location	bilbao
guggenheim_museum_bilbao	db:location	spain
guggenheim_museum_bilbao	db:foundingdate	1997-10-18
guggenheim_museum_bilbao	db:type	art_museum
guggenheim_museum_bilbao	db:numberofvisitors	1
guggenheim_museum_bilbao	db:homepage	www.guggenheim-bilbao.es
smithsonian_institution	db:knownfor-inv	james_smithson
victoria_and_albert_museum	db:name	victoria and albert museum
victoria_and_albert_museum	db:location	cromwell_gardens
victoria_and_albert_museum	db:location	south_kensington
victoria_and_albert_museum	db:22-rdf-syntax-ns#type	wgs84_pos#spatialthing
victoria_and_albert_museum	db:wgs84_pos#lat	51.496667
victoria_and_albert_museum	db:wgs84_pos#long	-0.171944
victoria_and_albert_museum	db:point	51.496667 -0.171944
victoria_and_albert_museum	db:collection	4.6 million objects
victoria_and_albert_museum	db:numberofvisitors	3290500
victoria_and_albert_museum	db:numberofvisitors	6
victoria_and_albert_museum	db:numberofvisitors	2013
victoria_and_albert_museum	db:numberofvisitors	11
victoria_and_albert_museum	db:director	martin_roth_(museum_director)
victoria_and_albert_museum	db:homepage	www.vam.ac.uk
british_museum	db:knownfor-inv	hans_sloane
doge's_palace	db:name	doge's palace
doge's_palace	db:name	palazzo ducale
doge's_palace	db:location	piazza_san_marco
doge's_palace	db:location	venice
doge's_palace	db:location	italy
doge's_palace	db:type	art_museum
doge's_palace	db:type	historic_site
doge's_palace	db:homepage	home
solomon_r._guggenheim_museum	db:yearofconstruction	1959
solomon_r._guggenheim_museum	db:added	2005-05-19
solomon_r._guggenheim_museum	db:nrhpreferencenumber	05000443
hollywood_walk_of_fame	db:name	hollywood walk of fame
hollywood_walk_of_fame	db:location	hollywood_boulevard
hollywood_walk_of_fame	db:location	vine_street
hollywood_walk_of_fame	db:location	hollywood
hollywood_walk_of_fame	db:location	los_angeles
hollywood_walk_of_fame	db:22-rdf-syntax-ns#type	wgs84_pos#spatialthing
hollywood_walk_of_fame	db:wgs84_pos#lat	34.10163
hollywood_walk_of_fame	db:wgs84_pos#long	-118.326684
hollywood_walk_of_fame	db:point	34.10163 -118.326684
hollywood_walk_of_fame	db:type	hall_of_fame
hollywood_walk_of_fame	db:numberofvisitors	10000000
hollywood_walk_of_fame	db:homepage	www.walkoffame.com
hollywood_walk_of_fame	db:rdf-schema#seealso	list_of_stars_on_the_hollywood_walk_of_fame
franklin_institute	db:award-inv	ahmed_zewail
liberty_bell_museum	db:rdf-schema#seealso-inv	allentown,_pennsylvania
amberley_museum_&_heritage_centre	db:name	amberley museum & heritage centre
amberley_museum_&_heritage_centre	db:location	amberley,_west_sussex
amberley_museum_&_heritage_centre	db:22-rdf-syntax-ns#type	wgs84_pos#spatialthing
amberley_museum_&_heritage_centre	db:wgs84_pos#lat	50.898
amberley_museum_&_heritage_centre	db:wgs84_pos#long	-0.5395
amberley_museum_&_heritage_centre	db:point	50.898 -0.5395
amberley_museum_&_heritage_centre	db:homepage	www.amberleymuseum.co.uk
hollywood_walk_of_fame	db:award-inv	george_stevens
san_francisco_museum_of_modern_art	db:name	san francisco museum of modern art
san_francisco_museum_of_modern_art	db:location	third_street_(san_francisco)
san_francisco_museum_of_modern_art	db:location	san_francisco
san_francisco_museum_of_modern_art	db:location	california
san_francisco_museum_of_modern_art	db:22-rdf-syntax-ns#type	wgs84_pos#spatialthing
san_francisco_museum_of_modern_art	db:wgs84_pos#lat	37.7858
san_francisco_museum_of_modern_art	db:wgs84_pos#long	-122.4008
san_francisco_museum_of_modern_art	db:point	37.7858 -122.4008
san_francisco_museum_of_modern_art	db:numberofvisitors	650000
san_francisco_museum_of_modern_art	db:president	robert_j._fisher
san_francisco_museum_of_modern_art	db:homepage	www.sfmoma.org
kasteel_van_wijnendale	db:deathplace-inv	mary_of_burgundy
hollywood_walk_of_fame	db:award-inv	vincent_price
science_museum,_london	db:name	science museum
science_museum,_london	db:22-rdf-syntax-ns#type	wgs84_pos#spatialthing
